Symbol,Name,Inception,Structure,Tracks This Index,Index Description,Category,Provider,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,Asset Class,Asset Class Size,Asset Class Style,Region,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Health Care,Industrials,Real Estate,Technology,Utilities,Leveraged,Inverse,Top Holdings,Chart,,,,,,,,,,,,,
MDYV,SPDR S&P 400 Mid Cap Value ETF,2005-08-11,ETF,S&P MidCap 400 Value Index,The index consists of value companies of the S&amp;P MidCap 400.,Mid Cap Value Equities,State Street SPDR,0.25%,$0.31,2.06%,$74.80 ,1," 	6,083 ", 	1.07 ,Equity,Mid-Cap,Value,North America,5.07%,0.37%,8.97%,6.04%,6.62%,16.72%,8.26%,17.70%,10.85%,9.86%,9.03%,,,click,click,,,,,,,,,,,,,
MFLA,Long Enhanced MSCI EAFE Index ETN,2010-11-29,ETN,MSCI EAFE Index (200%),"The index measures the performance of equity markets in European, Australasian, and Far Eastern markets.",Leveraged Equities,Barclays iPath,0.80%,,,$4.10 ,0,, 	-   ,Equity,Large-Cap,Blend,Developed Markets,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
MGC,Mega Cap 300 ETF,2007-12-17,ETF,CRSP US Mega Cap Index,This index is a broadly diversified index of stocks of the largest U.S. companies.,Large Cap Blend Equities,Vanguard,0.12%,$0.30,1.90%,$666.70 ,10.6," 	44,664 ", 	0.98 ,Equity,Mega-Cap,Blend,North America,2.83%,4.54%,10.15%,10.73%,11.63%,15.19%,12.77%,9.67%,1.83%,17.71%,2.94%,,,click,click,,,,,,,,,,,,,
MGK,Mega Cap 300 Growth,2007-12-17,ETF,MSCI US Large Cap Growth Index,The index represents the growth companies of the MSCI US Large Cap 300 Index.,Large Cap Growth Equities,Vanguard,0.12%,$0.24,1.41%,"$1,203.10 ",16.7," 	73,581 ", 	1.00 ,Equity,Mega-Cap,Growth,North America,2.58%,3.65%,18.44%,13.27%,5.11%,6.63%,10.72%,10.99%,1.43%,26.38%,0.00%,,,click,click,,,,,,,,,,,,,
MGV,Mega Cap 300 Value,2007-12-17,ETF,MSCI US Large Cap Value Index,The MSCI US Large Cap Value Index represents the value companies of the MSCI US Large Cap 300 Index.,Large Cap Value Equities,Vanguard,0.12%,$0.31,2.25%,$663.50 ,12.1," 	55,037 ", 	1.03 ,Equity,Mega-Cap,Value,North America,3.15%,5.91%,2.94%,8.43%,17.12%,22.03%,14.68%,8.26%,2.56%,8.64%,5.80%,,,click,click,,,,,,,,,,,,,
MIDU,Daily Mid Cap Bull 3x Shares,2009-01-08,ETF,S&P MidCap 400 Index (300%),The index measures the performance of the mid capitalization sector of the U.S. equity market.,Leveraged Equities,Direxion,0.95%,$2.95,4.36%,$59.00 ,0.8," 	59,803 ", 	3.78 ,Equity,Mid-Cap,Blend,North America,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
MINC,Newfleet Multi-Sector Income ETF,2013-03-20,ETF,,This ETF is not linked to a specific benchmark.,Corporate Bonds,AdvisorShares,0.75%,$0.11,1.41%,$98.80 ,2," 	9,528 ", 	0.27 ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MINT,Enhanced Short Maturity Strategy Fund,2009-11-16,ETF,,This ETF is not linked to a specific benchmark.,Money Market,PIMCO,0.35%,$0.06,0.77%,"$3,874.00 ",38.3," 	463,106 ", 	(0.06),Bond,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MLN,Market Vectors-Long Municipal Index ETF,2008-01-02,ETF,Barclays Capital AMT-Free Long Continuous Municipal Index,The Index provides broad exposure to investment-grade municipal bonds with a nominal maturity of 17 years or more.,National Munis,Van Eck,0.24%,$0.06,4.35%,$71.90 ,4.1," 	34,677 ", 	(0.53),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MLPA,MLP ETF,2012-04-19,ETF,Solactive MLP Composite Index,The index is intended to give investors a means of tracking the overall performance of the United States master limited partnerships (MLP) asset class.,MLPs,Global X,0.45%,$0.21,5.67%,$69.00 ,4.3," 	22,164 ", 	0.89 ,Equity,,,North America,2.34%,0.00%,0.00%,0.00%,90.32%,0.00%,0.00%,0.00%,0.00%,0.00%,7.26%,,,click,click,,,,,,,,,,,,,
MLPX,Global X MLP & Energy Infrastructure ETF,2013-08-07,ETF,Solactive MLP & Energy Infrastructure Index,"This index is intended to give investors a means of tracking the performance of MLPs and energy infrastructure corporations. Midstream energy infrastructure MLPs and corporations principally own and operate assets used in energy logistics, including, but not limited to, pipelines, storage facilities and other assets used in transporting, storing, gathering, and processing natural gas, natural gas liquids, crude oil or refined products.",MLPs,Global X,0.45%,$0.09,0.56%,$23.40 ,1.5," 	9,891 ", 	1.09 ,Equity,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MMTM,SPDR S&P 1500 Momentum Tilt ETF,2012-10-24,ETF,S&P 1500 Positive Momentum Tilt Index,"The index applies an alternative weighting methodology to the S&amp;P 1500 Index so that stocks with relatively high momentum are overweight relative to the S&amp;P 1500 Index and stocks with relatively low momentum are underweight. In constructing the Index, S&amp;P estimates the momentum of each stock in the S&amp;P 1500 Index based on its price performance over the 11 months ending one month before the index rebalancing date, and ranks all 1,500 Index constituents in order of momentum.",All Cap Equities,State Street SPDR,0.35%,$0.63,2.14%,$11.80 ,0.2," 	2,233 ", 	0.96 ,Equity,Multi-Cap,Blend,North America,2.94%,4.62%,13.39%,10.45%,7.58%,17.80%,15.56%,10.85%,2.62%,10.12%,3.22%,,,click,click,,,,,,,,,,,,,
MNA,IQ Merger Arbitrage ETF,2009-11-17,ETF,IQ Merger Arbitrage Index,The Index seeks to achieve capital appreciation by investing in global companies for which there has been a public announcement of a takeover by an acquirer. This differentiated approach is based on a passive strategy of owning certain announced takeover targets with the goal of generating returns that are representative of global merger arbitrage activity. The Index also includes short exposure to global equities as a partial equity market hedge.,Hedge Fund,IndexIQ,0.75%,$0.05,0.19%,$23.80 ,0.9," 	5,500 ", 	(0.73),Alternatives,,,Global,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MOAT,Market Vectors Wide Moat Research ETF,2012-04-25,ETF,Morningstar Wide Moat Focus Index,The index is equal weighted and offers exposure to a basket of 20 companies deemed to have sustainable competitive advantages over the long-haul.,All Cap Equities,Van Eck,0.49%,$0.23,0.80%,$536.70 ,18.7," 	162,445 ", 	1.02 ,Equity,,,North America,14.87%,0.00%,9.71%,0.00%,4.89%,15.57%,9.89%,23.95%,0.00%,16.67%,4.65%,,,click,click,,,,,,,,,,,,,
MOO,Market Vectors-Agribusiness ETF,2007-08-31,ETF,DAXglobal Agribusiness Index,"The Index provides exposure to publicly traded companies worldwide that derive at least 50% of their revenues from the business of agriculture. As such, the Fund is subject to the risks of investing in this sector.",Commodity Producers Equities,Van Eck,0.53%,$0.93,1.72%,"$4,612.60 ",85.2," 	234,252 ", 	0.92 ,Equity,,,Global,51.58%,0.00%,2.34%,27.34%,0.00%,0.00%,0.00%,18.90%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
MORT,Market Vector Mortgage REIT Income ETF,2011-08-17,ETF,Market Vectors Global Mortgage REITs Index,The index is a capitalization weighted index that requires constituent companies to derive at least 50 percent of their revenues from mortgage REITs. This includes companies and trusts which are primarily engaged in the purchase or service of commercial or residential mortgage loans or mortgage&amp;#8208;related securities.,Real Estate,Van Eck,0.40%,$0.62,12.37%,$88.00 ,4," 	67,211 ", 	(2.36),Real Estate,,,Global,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99.85%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
MRGR,Merger ETF,2012-12-13,ETF,S&P Merger Arbitrage Index,"The index seeks to provide a merger arbitrage strategy that exploits commonly observed price changes associated with a global selection of publicly announced mergers, acquisitions and other corporate reorganizations.",Hedge Fund,ProShares,0.75%,$0.04,1.66%,$3.80 ,0.1, 	452 , 	(1.58),Alternatives,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MTUM,MSCI USA Momentum Fund,2013-04-16,ETF,MSCI USA Momentum Index,"The index consists of stocks exhibiting higher momentum characteristics than the traditional market capitalization-weighted parent index, the MSCI USA Index, which includes U.S. large- and mid-capitalization stocks.",All Cap Equities,iShares,0.15%,$0.21,1.06%,$182.10 ,3.2," 	8,137 ", 	0.95 ,Equity,Multi-Cap,Blend,North America,2.40%,7.13%,15.65%,23.75%,1.52%,9.94%,28.07%,1.50%,1.92%,3.10%,4.82%,,,click,click,,,,,,,,,,,,,
MUAD,iShares 2015 AMT-Free Muni Term ETF,2010-01-07,ETF,S&P AMT-Free Municipal Series 2015 Index,"The S&amp;P AMT-Free Municipal Series 2015 Index measures the performance of AMT-Free, investment grade, noncallable U.S. municipal bonds maturing in 2015.",National Munis,iShares,0.30%,$0.03,0.87%,$95.40 ,1.8," 	10,494 ", 	0.76 ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MUAE,iShares 2016 AMT-Free Muni Term ETF,2010-01-07,ETF,S&P AMT-Free Municipal Series 2016 Index,"The S&amp;P AMT-Free Municipal Series 2016 Index measures the performance of AMT-Free, investment grade, noncallable U.S. municipal bonds maturing in 2016.",National Munis,iShares,0.30%,$0.04,1.04%,$104.10 ,2," 	12,391 ", 	0.17 ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MUAF,iShares 2017 AMT-Free Muni Term ETF,2010-01-07,ETF,S&P AMT-Free Municipal Series 2017 Index,"The S&amp;P AMT-Free Municipal Series 2017 Index measures the performance of AMT-Free, investment grade, noncallable U.S. municipal bonds maturing in 2017.",National Munis,iShares,0.30%,$0.05,1.27%,$112.60 ,2.1," 	14,134 ", 	(0.17),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MUB,iShares National AMT-Free Muni Bond ETF,2007-09-07,ETF,S&P National AMT-Free Municipal Bond Index,The index measures the performance of the investment grade segment of the U.S. municipal bond market.,National Munis,iShares,0.25%,$0.27,2.99%,"$3,024.10 ",29.1," 	258,362 ", 	(0.33),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MUNI,Intermediate Municipal Bond Strategy Fund,2009-11-30,ETF,,This ETF is not linked to a specific benchmark.,National Munis,PIMCO,0.35%,$0.10,2.30%,$195.00 ,3.8," 	35,083 ", 	(0.24),Bond,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
MVV,Ultra MidCap400,2006-06-19,ETF,S&P MidCap 400 Index (200%),The index measures the performance of the mid capitalization sector of the U.S. equity market.,Leveraged Equities,ProShares,0.95%,$0.04,0.03%,"$1,782.20 ",14.2," 	342,331 ", 	2.39 ,Equity,Mid-Cap,Blend,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
MXI,iShares Global Materials ETF,2006-09-12,ETF,S&P Global Materials Index,The index measures the performance of the materials sector of global equity markets.,Materials,iShares,0.48%,$0.50,2.15%,$399.40 ,6.5," 	46,350 ", 	1.19 ,Equity,,,Global,93.39%,0.00%,3.68%,0.00%,0.00%,0.00%,0.00%,0.47%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
MYY,Short MidCap400,2006-06-19,ETF,S&P MidCap 400 Index (-100%),The index measures the performance of the mid capitalization sector of the U.S. equity market.,Inverse Equities,ProShares,0.95%,$0.17,,$23.70 ,1.3," 	44,211 ", 	(1.18),Equity,Mid-Cap,Blend,North America,,,,,,,,,,,,,Yes,click,click,,,,,,,,,,,,,
MZZ,UltraShort MidCap400,2006-07-11,ETF,S&P MidCap 400 Index (-200%),The index measures the performance of the mid capitalization sector of the U.S. equity market.,Leveraged Equities,ProShares,0.95%,$23.86,,$12.40 ,0.9," 	21,455 ", 	(2.29),Equity,Mid-Cap,Blend,North America,,,,,,,,,,,,2x,Yes,click,click,,,,,,,,,,,,,
NFRA,STOXX Global Broad Infrastructure Index Fund,2013-10-08,ETF,STOXX Global Broad Infrastructure Index,The index is a global equity index consisting of companies that have infrastructure ownership.,Global Equities,FlexShares,0.47%,,,$25.20 ,0.6,, 	1.06 ,Equity,Large-Cap,,Global,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
NGE,Global X Nigeria Index ETF,2013-04-02,ETF,Solactive Nigeria Index,"The index is designed to reflect broad based equity market performance in Nigeria. The index is comprised of companies that are domiciled in, principally traded in or whose revenues are primarily from Nigeria. The stocks are screened for liquidity and weighted according to modified free-float market capitalization.",Emerging Markets Equities,Global X,0.68%,,,$6.80 ,0.5," 	8,410 ", 	1.41 ,Equity,Large-Cap,,Africa,9.09%,0.00%,2.47%,21.24%,17.96%,45.85%,0.00%,2.27%,0.00%,0.00%,0.84%,,,click,click,,,,,,,,,,,,,
NIB,Dow Jones-UBS Cocoa Total Return Sub-Index ETN,2008-06-24,ETN,Dow Jones-UBS Cocoa Subindex Total Return,The Dow Jones-UBS Cocoa Subindex Total Return is a single-commodity sub-index currently consisting of one futures contract on the commodity of cocoa.,Agricultural Commodities,Barclays iPath,0.75%,,,$41.40 ,1.2," 	18,069 ", 	(1.97),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
NLR,Market Vectors Uranium+Nuclear Energy ETF,2007-08-13,ETF,DAXglobal Nuclear Energy Index,The Index provides exposure to publicly traded companies worldwide that are engaged in various aspects of the nuclear energy business.,Alternative Energy Equities,Van Eck,0.60%,$0.33,0.69%,$77.50 ,1.6," 	4,483 ", 	1.41 ,Equity,,,Global,33.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,38.11%,0.00%,0.00%,23.90%,,,click,click,,,,,,,,,,,,,
NOBL,S&P 500 Aristocrats ETF,2013-10-09,ETF,S&P 500 Dividend Aristocrats Index,tag not found,Large Cap Value Equities,ProShares,0.35%,,,$61.70 ,1.4,, 	1.03 ,Equity,Large-Cap,Value,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
NORW,FTSE Norway 30 ETF,2010-11-10,ETF,FTSE Norway 30 Index,The index is designed to reflect broad based equity market performance in Norway.,Europe Equities,Global X,0.50%,$0.43,2.62%,$84.30 ,5.2," 	31,308 ", 	(1.90),Equity,,,Developed Europe,7.79%,9.75%,3.75%,9.00%,45.79%,16.62%,1.72%,3.09%,0.71%,1.67%,0.00%,,,click,click,,,,,,,,,,,,,
NUGT,Daily Gold Miners Bull 3x Shares,2010-12-08,ETF,NYSE Arca Gold Miners Index (300%),"The Index provides exposure to publicly traded companies worldwide involved primarily in the mining for gold, representing a diversified blend of small-, mid- and large- capitalization stocks.",Leveraged Equities,Direxion,0.95%,,,$668.30 ,23.8," 	5,320,916 ", 	(10.55),Equity,,,Global,,,,,,,,,,,,3x,,click,click,,,,,,,,,,,,,
NYC,iShares NYSE Composite ETF,2004-03-30,ETF,NYSE Composite Index,The index measures the performance of all common stocks listed on the New York Stock Exchange.,All Cap Equities,iShares,0.25%,$0.53,2.17%,$70.70 ,0.8," 	2,316 ", 	0.93 ,Equity,Multi-Cap,Blend,North America,5.72%,5.53%,9.94%,9.17%,13.74%,20.44%,11.62%,10.89%,3.38%,5.95%,3.44%,,,click,click,,,,,,,,,,,,,
NYF,iShares New York AMT-Free Muni Bond ETF,2007-10-04,ETF,S&P New York AMT-Free Municipal Bond Index,The index measures the performance of the investment grade segment of the New York municipal bond market.,New York Munis,iShares,0.25%,$0.27,3.01%,$126.10 ,1.2," 	9,144 ", 	(0.31),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
OEF,iShares S&P 100 ETF,2000-10-23,ETF,S&P 100 Index,"The index measures the performance of stocks from a broad range of industries, chosen for market size, liquidity, and industry group representation.",Large Cap Blend Equities,iShares,0.20%,$0.46,1.96%,"$4,239.90 ",51.7," 	876,980 ", 	0.95 ,Equity,Mega-Cap,Blend,North America,1.88%,4.95%,10.62%,11.19%,11.79%,16.58%,12.46%,9.31%,0.55%,19.58%,0.96%,,,click,click,,,,,,,,,,,,,
OIH,Market Vectors Oil Services ETF,2011-12-20,ETF,Market Vectors US Listed Oil Services 25 Index,"The Index is a rules based index intended to track the overall performance of 25 of the largest U.S. listed, publicly traded oil service companies.",Energy Equities,Van Eck,0.35%,$0.54,1.13%,"$1,515.10 ",31.6," 	4,151,249 ", 	(1.58),Equity,,,North America,4.39%,0.00%,0.00%,0.00%,95.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
OIL,S&P GSCI Crude Oil Tot Ret Idx ETN,2006-08-15,ETN,S&P GSCI Crude Oil Total Return Index,The index reflects the returns that are potentially available through an unleveraged investment in the West Texas Intermediate (WTI) crude oil futures contract plus the Treasury Bill rate of interest that could be earned on funds committed to the trading of the underlying contracts.,Oil &amp; Gas,Barclays iPath,0.75%,,,$271.60 ,11.7," 	398,795 ", 	1.56 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
OLEM,Pure Beta Crude Oil ETN,2011-04-20,ETN,Barclays Capital WTI Crude Oil Pure Beta TR Index,"The index is comprised of a single exchange traded futures contract, except during the roll period when the Index may be comprised of two futures contracts. However, unlike many commodity indices which roll their exposure to the corresponding futures contract on a monthly basis in accordance with a pre-determined roll schedule, the Index may roll into one of a number of futures contracts with varying expiration dates, as selected using the Barclays Capital Pure Beta Series 2 Methodology.",Oil &amp; Gas,Barclays iPath,0.75%,,,$3.30 ,0.1," 	1,388 ", 	(1.88),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
OLO,DB Crude Oil Long ETN,2008-06-16,ETN,Deutsche Bank Liquid Commodity Index-Oil,The index is designed to reflect the performance of certain crude oil futures contracts plus the returns from investing in 3 month United States Treasury Bills.,Oil &amp; Gas,Invesco PowerShares,0.75%,,,$7.60 ,0.6," 	3,017 ", 	3.81 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
ONEF,Russell Equity ETF,2010-05-11,ETF,,This ETF is not linked to a specific benchmark.,Diversified Portfolio,Russell,0.51%,$0.03,2.54%,$10.60 ,0.3," 	5,976 ", 	1.17 ,Equity,Multi-Cap,,Global,5.90%,4.15%,11.47%,10.99%,8.42%,16.77%,9.86%,11.16%,3.51%,11.85%,4.36%,,,click,click,,,,,,,,,,,,,
ONEQ,Nasdaq Composite Index Tracking Stock,2003-09-25,ETF,NASDAQ Composite Index,The NASDAQ Composite Index measures all NASDAQ domestic and international based common type stocks listed on The Nasdaq Stock Market.,All Cap Equities,Fidelity,0.30%,$0.52,0.84%,$310.40 ,1.9," 	14,984 ", 	1.15 ,Equity,Multi-Cap,Growth,North America,1.08%,4.98%,15.23%,4.40%,1.07%,6.38%,13.52%,5.94%,0.44%,46.80%,0.08%,,,click,click,,,,,,,,,,,,,
ONG,Pure Beta Energy ETN,2011-04-20,ETN,Barclays Capital Commodity Index Energy Pure Beta TR,"The index is comprised of a basket of exchange traded futures contracts, and uses an allocation methodology designed to mitigate the effects of certain distortions in the commodity markets on such returns. Unlike many commodity indices which roll their exposure to the corresponding futures contract on a monthly basis in accordance with a pre-determined roll schedule, the Index may roll into one of a number of futures contracts with varying expiration dates, as selected using the Barclays Capital Pure Beta Series 2 Methodology.",Oil &amp; Gas,Barclays iPath,0.75%,,,$2.50 ,0.1, 	100 , 	(8.60),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PALL,Physical Palladium Shares,2010-01-08,Grantor Trust,Palladium Bullion,This ETF is designed to track the spot price of Palladium bullion.,Precious Metals,ETF Securities,0.60%,,,$510.20 ,7.4," 	70,650 ", 	(1.67),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PBD,Global Clean Energy Portfolio,2007-06-13,ETF,WilderHill New Energy Global Innovation index,The Index seeks to deliver capital appreciation and is composed of companies that focus on greener and generally renewable sources of energy and technologies facilitating cleaner energy.,Alternative Energy Equities,Invesco PowerShares,0.75%,$0.04,1.24%,$85.70 ,7.2," 	28,817 ", 	(1.44),Equity,,,Global,7.96%,0.00%,4.16%,1.57%,3.64%,0.00%,0.00%,19.56%,0.00%,40.73%,22.47%,,,click,click,,,,,,,,,,,,,
PBE,Dynamic Biotech &Genome,2005-06-23,ETF,Dynamic Biotechnology & Genome Intellidex Index,"The index is comprised of stocks of U.S. biotechnology and genome companies. The Index is designed to provide capital appreciation by thoroughly evaluating companies based on a variety of investment merit criteria, including fundamental growth, stock valuation, investment timeliness and risk factors.",Health &amp; Biotech Equities,Invesco PowerShares,0.60%,$0.08,1.70%,$289.90 ,7.8," 	72,933 ", 	2.06 ,Equity,,,North America,4.90%,0.00%,0.00%,0.00%,0.00%,0.00%,89.50%,0.00%,0.00%,5.53%,0.00%,,,click,click,,,,,,,,,,,,,
PBJ,Dynamic Food & Beverage,2005-06-23,ETF,Dynamic Food & Beverage Intellidex Index,"The index is comprised of stocks of U.S. food and beverage companies. The Index is designed to provide capital appreciation by thoroughly evaluating companies based on a variety of investment merit criteria, including fundamental growth, stock valuation, investment timeliness and risk factors.",Consumer Staples Equities,Invesco PowerShares,0.60%,$0.07,1.56%,$229.80 ,8.8," 	32,759 ", 	1.40 ,Equity,,,North America,4.84%,0.00%,8.22%,86.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
PBP,S&P 500 BuyWrite Portfolio,2007-12-20,ETF,CBOE S&P 500 BuyWrite Index,"The index is designed to measure the total rate of return of a hypothetical &quot;buy-write&quot;, or &quot;covered call&quot;, strategy on the S&amp;P 500 Index. This strategy consists of a hypothetical portfolio consisting of a &quot;long&quot; position indexed to the S&amp;P 500 Index (i.e. purchasing the common stocks included in the S&amp;P 500 Index) and the sale of a succession of one-month, at- or slightly out-of-the-money S&amp;P 500 Index call options that are listed on the Chicago Board Options Exchange.",Long-Short,Invesco PowerShares,0.75%,$0.69,9.11%,$202.80 ,9.7," 	60,389 ", 	0.47 ,Alternatives,Large-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PBS,Dynamic Media,2005-06-23,ETF,Dynamic Media Intellidex Index,"The index is comprised of stocks of U.S. media companies. The Index is designed to provide capital appreciation by thoroughly evaluating companies based on a variety of investment merit criteria, including fundamental growth, stock valuation, investment timeliness and risk factors.",Consumer Discretionary Equities,Invesco PowerShares,0.60%,$0.02,0.56%,$325.30 ,12.4," 	135,856 ", 	1.57 ,Equity,,,North America,0.00%,16.03%,53.53%,0.00%,0.00%,0.00%,0.00%,8.54%,0.00%,21.87%,0.00%,,,click,click,,,,,,,,,,,,,
PBW,WilderHill Clean Energy Portfolio,2005-03-03,ETF,WilderHill Clean Energy Index,The Index is designed to deliver capital appreciation through the selection of companies that focus on greener and generally renewable sources of energy and technologies that facilitate cleaner energy.,Alternative Energy Equities,Invesco PowerShares,0.60%,$0.06,2.21%,$205.40 ,32.7," 	451,066 ", 	(2.62),Equity,,,Global,11.89%,0.00%,7.50%,2.03%,4.50%,0.00%,0.00%,16.82%,0.00%,43.97%,13.29%,,,click,click,,,,,,,,,,,,,
PCEF,CEF Income Composite Portfolio,2010-02-19,ETF,S-Network Composite Closed-End Fund Index,The index is a rules-based index intended to give investors a means of tracking the overall performance of a global universe of U.S.-listed closed-end funds. CEFX is reconstructed on a quarterly basis from a universe of approximately 350 closed-end funds.,Total Bond Market,Invesco PowerShares,0.50%,$0.18,8.13%,$490.70 ,20.2," 	141,491 ", 	0.68 ,Bond,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PCY,Emerging Markets Sovereign Debt Portfolio,2007-10-11,ETF,DB Emerging Market USD Liquid Balanced Index,The Index tracks the potential returns of a theoretical portfolio of liquid emerging markets U.S. dollar-denominated government bonds issued by approximately 22 emerging-market countries. The countries in the Index are selected annually pursuant to a proprietary index methodology and the membership list is rebalanced quarterly.,Emerging Markets Bonds,Invesco PowerShares,0.50%,$0.11,4.68%,"$1,852.30 ",68.4," 	674,645 ", 	(0.73),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PDN,FTSE RAFI Developed Markets ex-U.S. Small-Mid Portfolio,2007-09-27,ETF,FTSE RAFI Developed Markets ex-U.S. Mid-Small 1500 Index,"The Index is designed to track the performance of small and mid capitalization equities of companies domiciled in developed international markets (excluding the U.S.), selected based on the following four fundamental measures of firm size: book value, cash flow, sales and dividends.",Foreign Small &amp; Mid Cap Equities,Invesco PowerShares,0.49%,$0.30,3.25%,$103.50 ,3.8," 	27,284 ", 	1.70 ,Equity,Mid-Cap,Value,Developed Markets,12.41%,1.73%,18.18%,8.38%,4.22%,9.44%,4.59%,20.89%,7.43%,9.67%,1.84%,,,click,click,,,,,,,,,,,,,
PDP,DWA Technical Leaders Portfolio,2007-03-01,ETF,Dorsey Wright Technical Leaders Index,"The Index includes approximately 100 U.S.-listed companies that demonstrate powerful relative strength characteristics. The Index is constructed pursuant to Dorsey Wright proprietary methodology, which takes into account, among other factors, the performance of each of the 3,000 largest U.S.-listed companies as compared to a benchmark index, and the relative performance of industry sectors and sub-sectors.",All Cap Equities,Invesco PowerShares,0.60%,$0.03,0.77%,"$1,180.00 ",32.4," 	198,045 ", 	1.31 ,Equity,Mid-Cap,Blend,North America,11.14%,0.76%,25.61%,4.75%,3.52%,11.09%,6.78%,18.03%,11.03%,5.55%,1.67%,,,click,click,,,,,,,,,,,,,
PEJ,Dynamic Leisure & Entertainment Portfolio,2005-06-23,ETF,Dynamic Leisure and Entertainment Intellidex Index,"The index is comprised of stocks of U.S. leisure and entertainment companies. The Index is designed to provide capital appreciation by thoroughly evaluating companies based on a variety of investment merit criteria, including fundamental growth, stock valuation, investment timeliness and risk factors.",Consumer Discretionary Equities,Invesco PowerShares,0.60%,$0.07,0.60%,$195.40 ,5.8," 	62,064 ", 	1.61 ,Equity,,,North America,0.00%,2.79%,94.39%,0.00%,0.00%,0.00%,0.00%,0.00%,2.79%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
PEK,Market Vectors China ETF,2010-10-13,ETF,CSI 300 Index,The index consists of 300 A-Share stocks listed on the Shenzen or Shanghai Stock Exchange.,China Equities,Van Eck,0.72%,$0.70,2.30%,$28.90 ,1," 	5,359 ", 	(2.49),Equity,,,Emerging Asia Pacific,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
PEX,Global Listed Private Equity ETF,2013-02-26,ETF,LPX Direct Listed Private Equity Index,The index consists of up to 30 qualifying listed private equity companies.,Financials Equities,ProShares,0.60%,$0.02,0.04%,$4.30 ,0.1, 	696 , 	3.73 ,Equity,Small-Cap,Value,Global,0.00%,0.00%,0.00%,0.00%,0.00%,65.95%,0.00%,2.83%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
PEY,High Yield Dividend Achievers,2004-12-09,ETF,Dividend Achiever 50 Index,The Index is comprised of 50 stocks selected principally on the basis of dividend yield and consistent growth in dividends.,All Cap Equities,Invesco PowerShares,0.50%,$0.03,3.28%,$364.10 ,30.8," 	91,106 ", 	1.14 ,Equity,Multi-Cap,Value,North America,0.00%,2.28%,7.18%,13.32%,2.13%,28.97%,1.52%,7.37%,0.00%,2.03%,35.38%,,,click,click,,,,,,,,,,,,,
